Empty Cell,Average,Median,St. Dev.,min,Q1,Q3,MAX,Number of answers,MAX-min
Philippines,7.4,6.1,2.0,5.5,6.0,10.1,10.1,18,4.6
Kuwait,6.8,6.6,1.1,5.0,6.5,6.8,10.6,17,5.6
Nigeria,10.1,8.5,3.7,6.0,8.5,10.0,20.0,17,14.0
Romania,7.7,8.0,1.4,5.0,7.0,9.0,9.5,17,4.5
UAE,8.0,8.0,1.2,6.8,6.8,9.0,10.0,17,3.3
Ecuador,13.5,15.9,5.8,6.0,6.8,18.8,20.0,16,14.0
Bahrain,7.3,8.3,1.8,5.5,5.5,8.3,11.1,14,5.6
Croatia,7.8,9.0,1.4,5.5,6.6,9.0,9.0,14,3.5
Oman,6.6,7.3,1.7,5.0,5.0,7.3,11.1,14,6.1
Bulgaria,8.3,8.6,0.9,6.5,7.8,8.6,10.0,13,3.5
Qatar,7.1,7.0,0.9,6.8,6.8,7.0,10.1,13,3.3
Bolivia,10.2,10.5,1.8,7.5,8.4,12.0,13.1,12,5.6
Lebanon,9.0,9.0,3.1,6.0,6.0,12.0,12.0,12,6.0
Morocco,7.3,7.3,2.4,5.0,5.0,9.6,9.6,12,4.6
Senegal,11.0,11.0,2.0,8.0,10.0,12.0,16.0,12,8.0
Vietnam,10.8,12.0,2.4,3.9,10.0,12.0,12.0,12,8.1
Panama,9.2,9.0,1.4,6.0,9.0,9.6,11.3,11,5.3
Venezuela,12.2,12.0,3.6,6.0,12.0,13.5,17.8,11,11.8
Malta,6.6,7.5,1.6,3.1,6.6,7.5,7.5,10,4.4
Slovenia,6.5,7.3,1.2,3.6,6.0,7.3,7.3,10,3.7
Zimbabwe,10.5,12.5,3.0,5.5,8.0,12.5,12.5,10,7.0
Costa Rica,8.5,9.0,1.8,3.8,9.0,9.0,10.0,9,6.2
Cyprus,7.9,9.0,2.4,2.5,9.0,9.0,9.0,9,6.5
Iran,17.2,19.5,7.9,5.0,10.0,22.9,26.5,9,21.5
Kenya,6.2,7.0,1.4,3.0,6.2,7.0,7.0,9,4.0
Slovakia,6.9,7.3,0.8,5.0,7.3,7.3,7.5,9,2.5
Uruguay,9.3,9.6,1.3,6.0,9.6,9.6,10.4,9,4.4
Zambia,7.2,7.0,1.0,6.0,7.0,7.0,9.8,9,3.8
Albania,11.1,12.0,2.5,5.0,12.0,12.0,12.0,8,7.0
Trinidad&Tobago,9.8,8.3,4.1,8.3,8.3,8.4,20.0,8,11.8
Guatemala,10.1,9.6,1.3,9.6,9.6,9.6,13.0,7,3.4
Honduras,13.9,13.5,0.9,13.5,13.5,13.5,16.0,7,2.5
Lituania,7.9,8.3,0.9,6.0,8.3,8.3,8.3,7,2.3
Ghana,9.6,10.0,1.7,8.0,8.0,10.0,12.0,6,4.0
