Empty Cell,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Long trading position,Long trading position,Long trading position,Long trading position,Long trading position
NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ
15,0.95,0.973,10.865,0.001,11.35,0.121,0.05,0.06,0.989,0.322,2.351,0.939
15,0.99,0.994,1.016,0.3111,1.014,0.992,0.01,0.017,3.074,0.080,28.35,0.001
5,0.95,0.968,7.776,0.004,9.611,0.214,0.05,0.070,7.529,0.007,10.55,0.154
5,0.99,0.996,1.889,0.171,1.789,0.969,0.01,0.016,2.187,0.14,28.4,0.001
1,0.95,0.951,0.021,0.884,7.653,0.363,0.050,0.055,0.510,0.474,3.360,0.849
1,0.99,0.990,0.000,1.000,0.420,0.999,0.010,0.014,1.437,0.230,28.54,0.000
Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.,Panel f.
Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225,Nikkei 225
15,0.95,0.957,0.540,0.462,4.386,0.735,0.05,0.042,1.079,0.23,11.55,0.119
15,0.99,0.995,1.012,0.311,4.092,0.771,0.01,0.013,1.435,0.232,8.349,0.301
5,0.95,0.946,0.082,0.769,7.299,0.399,0.05,0.048,0.085,0.770,13.63,0.060
5,0.99,0.994,3.091,0.080,4.235,0.751,0.01,0.008,0.102,0.749,11.24,0.129
1,0.95,0.949,0.020,0.884,6.611,0.470,0.050,0.048,0.085,0.770,13.63,0.058
1,0.99,0.995,3.093,0.078,4.222,0.753,0.010,0.010,0.000,1.000,9.692,0.206
Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.,Panel g.
S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500,S&P 500
15,0.95,0.963,5.265,0.022,8.169,0.315,0.05,0.065,3.301,0.07,26.16,0.000
15,0.99,0.996,1.884,0.170,1.881,0.964,0.01,0.019,9.279,0.003,27.71,0.001
5,0.95,0.962,2.743,0.095,9.294,0.230,0.05,0.068,4.915,0.025,32.57,0.000
5,0.99,0.998,6.823,0.009,4.990,0.661,0.01,0.015,0.832,0.363,7.259,0.399
1,0.95,0.954,0.342,0.559,7.971,0.333,0.05,0.066,4.346,0.039,31.39,0.000
1,0.975,0.985,4.777,0.028,6.584,0.473,0.025,0.031,1.373,0.241,21.97,0.002
1,0.99,0.996,4.706,0.030,3.838,0.798,0.01,0.011,0.097,0.754,0.947,0.995
Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.
EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO
15,0.95,0.96,1.078,0.301,5.821,0.561,0.05,0.046,0.029,0.889,10.61,0.159
15,0.99,0.995,1.884,0.171,1.731,0.970,0.01,0.013,0.102,0.741,0.653,0.996
5,0.95,0.940,1.613,0.199,8.226,0.311,0.05,0.057,0.331,0.562,10.10,0.187
5,0.99,0.994,0.436,0.503,6.434,0.471,0.01,0.013,0.099,0.752,6.260,0.511
1,0.95,0.942,1.284,0.257,8.656,0.278,0.05,0.055,0.510,0.474,13.21,0.068
1,0.99,0.993,1.015,0.313,4.696,0.696,0.01,0.012,0.379,0.537,9.802,0.200
Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.,Panel h.
Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen,Yen
15,0.95,0.959,1.085,0.300,6.190,0.514,0.05,0.055,0.510,0.472,7.206,0.409
15,0.99,0.984,0.302,0.756,0.671,0.995,0.01,0.014,1.437,0.234,16.22,0.022
5,0.95,0.956,0.541,0.462,5.951,0.548,0.05,0.061,2.387,0.120,12.18,0.096
5,0.99,0.996,3.095,0.080,2.954,0.891,0.01,0.011,0.004,0.554,18.82,0.007
1,0.95,0.955,0.543,0.460,5.995,0.540,0.050,0.061,2.387,0.122,12.13,0.096
1,0.99,0.995,3.093,0.078,2.942,0.890,0.010,0.010,0.000,1.000,18.7,0.008
Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.,Panel k.
GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP
15,0.95,0.967,6.047,0.009,8.699,0.272,0.05,0.055,0.407,0.568,4.439,0.730
15,0.99,0.994,1.019,0.315,1.155,0.988,0.01,0.017,5.224,0.019,11.55,0.117
5,0.95,0.964,6.035,0.014,8.531,0.289,0.05,0.059,1.282,0.256,5.819,0.564
5,0.99,0.998,6.823,0.010,4.969,0.661,0.01,0.012,0.099,0.755,0.929,0.992
1,0.95,0.958,1.421,0.233,7.702,0.359,0.050,0.055,0.510,0.474,5.563,0.591
1,0.99,0.994,1.886,0.169,1.969,0.961,0.010,0.010,0.000,1.000,0.603,0.998
